x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
19.0813,130.0549,0.0000,1.5735,100.0000,0,0,0,0,0
19.0786,131.0550,0.0000,1.5734,100.0000,0,0,0,0,0
19.0760,132.0551,0.0000,1.5733,100.0000,0,0,0,0,0
19.0736,133.0552,0.0000,1.5731,100.0000,0,0,0,0,0
19.0714,134.0553,0.0000,1.5729,100.0000,0,0,0,0,0
19.0693,135.0553,0.0000,1.5728,100.0000,0,0,0,0,0
19.0675,136.0553,0.0000,1.5726,100.0000,0,0,0,0,0
19.0658,137.0552,0.0000,1.5724,100.0000,0,0,0,0,0
19.0643,138.0551,0.0000,1.5721,100.0000,0,0,0,0,0
19.0631,139.0550,0.0000,1.5719,100.0000,0,0,0,0,0
19.0621,140.0550,0.0000,1.5716,100.0000,0,0,0,0,0
19.0614,141.0551,0.0000,1.5714,100.0000,0,0,0,0,0
19.0610,142.0553,0.0000,1.5711,100.0000,0,0,0,0,0
19.0609,143.0547,0.0000,1.5707,100.0000,0,0,0,0,0
19.0611,144.0505,0.0000,1.5704,100.0000,0,0,0,0,0
19.0617,145.0528,0.0000,1.5700,100.0000,0,0,0,0,0
19.0626,146.0589,0.0000,1.5697,100.0000,0,0,0,0,0
19.0639,147.0567,0.0000,1.5694,100.0000,0,0,0,0,0
19.0654,148.0573,0.0000,1.5691,100.0000,0,0,0,0,0
19.0673,149.0568,0.0000,1.5688,100.0000,0,0,0,0,0
19.0694,150.0564,0.0000,1.5686,100.0000,0,0,0,0,0
19.0717,151.0560,0.0000,1.5683,100.0000,0,0,0,0,0
19.0743,152.0555,0.0000,1.5682,100.0000,0,0,0,0,0
19.0770,153.0552,0.0000,1.5680,100.0000,0,0,0,0,0
19.0799,154.0550,0.0000,1.5679,100.0000,0,0,0,0,0
19.0828,155.0551,0.0000,1.5678,100.0000,0,0,0,0,0
19.0858,156.0551,0.0000,1.5678,100.0000,0,0,0,0,0
19.0888,157.0551,0.0000,1.5678,100.0000,0,0,0,0,0
19.0918,158.0550,0.0000,1.5679,100.0000,0,0,0,0,0
19.0946,159.0550,0.0000,1.5680,100.0000,0,0,0,0,0
19.0973,160.0552,0.0000,1.5682,100.0000,0,0,0,0,0
19.0998,161.0553,0.0000,1.5685,100.0000,0,0,0,0,0
19.1020,162.0555,0.0000,1.5688,100.0000,0,0,0,0,0
19.1038,163.0556,0.0000,1.5692,100.0000,0,0,0,0,0
