x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
19.1947,133.1608,0.0000,1.5697,60.0000,0,0,0,0,0
19.1956,134.1618,0.0000,1.5700,60.0000,0,0,0,0,0
19.1962,135.1607,0.0000,1.5704,60.0000,0,0,0,0,0
19.1964,136.1638,0.0000,1.5708,60.0000,0,0,0,0,0
19.1963,137.1641,0.0000,1.5711,60.0000,0,0,0,0,0
19.1957,138.1635,-0.0000,1.5715,60.0000,0,0,0,0,0
19.1949,139.1620,-0.0000,1.5718,60.0000,0,0,0,0,0
19.1936,140.1627,-0.0000,1.5722,60.0000,0,0,0,0,0
19.1921,141.1625,-0.0000,1.5725,60.0000,0,0,0,0,0
19.1903,142.1627,-0.0000,1.5727,60.0000,0,0,0,0,0
19.1882,143.1628,-0.0000,1.5730,60.0000,0,0,0,0,0
19.1859,144.1630,-0.0000,1.5733,60.0000,0,0,0,0,0
19.1833,145.1632,-0.0000,1.5735,60.0000,0,0,0,0,0
19.1805,146.1633,-0.0000,1.5737,60.0000,0,0,0,0,0
19.1775,147.1635,-0.0000,1.5739,60.0000,0,0,0,0,0
19.1743,148.1637,-0.0000,1.5741,60.0000,0,0,0,0,0
19.1709,149.1639,-0.0000,1.5743,60.0000,0,0,0,0,0
19.1674,150.1640,-0.0000,1.5744,60.0000,0,0,0,0,0
19.1636,151.1641,-0.0000,1.5746,60.0000,0,0,0,0,0
19.1598,152.1643,-0.0000,1.5747,60.0000,0,0,0,0,0
19.1558,153.1638,-0.0000,1.5748,60.0000,0,0,0,0,0
19.1517,154.1648,-0.0000,1.5750,60.0000,0,0,0,0,0
19.1475,155.1615,-0.0000,1.5751,60.0000,0,0,0,0,0
19.1432,156.1625,0.0000,1.5751,60.0000,0,0,0,0,0
19.1388,157.1629,0.0000,1.5752,60.0000,0,0,0,0,0
19.1343,158.1630,0.0000,1.5753,60.0000,0,0,0,0,0
19.1298,159.1628,0.0000,1.5754,60.0000,0,0,0,0,0
19.1251,160.1623,0.0000,1.5755,60.0000,0,0,0,0,0
19.1204,161.1616,0.0000,1.5756,60.0000,0,0,0,0,0
